backend,specimen,anatomy,method,condition,level,draw,retention,virtual_target_rms_displacement_mm,registration_recall,rotation_error_deg,translation_error_mm,registration_only_seconds,fitness,error
,specimen01,foot,raw,aligned,0,0,,0.5848204212669775,1.0,0.2984394929912112,0.2609200194014241,0.051633999013574794,0.9873333333333333,
,specimen01,foot,raw,5deg_5mm,1,0,,0.5848204212669676,1.0,0.2984394929985386,0.24893467645740433,0.05138730999897234,0.9873333333333333,
,specimen01,foot,raw,5deg_5mm,1,1,,0.5848204212669716,1.0,0.2984394929985386,0.24890752750442927,0.05086187299457379,0.9873333333333333,
,specimen01,foot,raw,5deg_5mm,1,2,,0.5848204212669761,1.0,0.2984394930034236,0.24446683705693592,0.05092104498180561,0.9873333333333333,
,specimen01,foot,raw,5deg_5mm,1,3,,0.5848204212669774,1.0,0.2984394929985386,0.2520761445717075,0.0530460559821222,0.9873333333333333,
,specimen01,foot,raw,5deg_5mm,1,4,,0.5848204212669734,1.0,0.2984394929936537,0.2736500816411542,0.05254574699210934,0.9873333333333333,
,specimen01,foot,raw,10deg_10mm,2,0,,0.5848204212669545,1.0,0.2984394929985386,0.22060468249596193,0.05202926500351168,0.9873333333333333,
,specimen01,foot,raw,10deg_10mm,2,1,,0.584820421266978,1.0,0.2984394929936537,0.2667586202998728,0.04947792799794115,0.9873333333333333,
,specimen01,foot,raw,10deg_10mm,2,2,,0.584820421266991,1.0,0.2984394929985386,0.3019308668983313,0.047595409996574745,0.9873333333333333,
,specimen01,foot,raw,10deg_10mm,2,3,,0.5848204212669856,1.0,0.2984394929936537,0.3026994020455801,0.05028261197730899,0.9873333333333333,
,specimen01,foot,raw,10deg_10mm,2,4,,0.5848204212669786,1.0,0.2984394929936537,0.2574708397667845,0.05292983300751075,0.9873333333333333,
,specimen01,foot,raw,20deg_20mm,3,0,,0.5848204212670034,1.0,0.2984394929936537,0.20900141822239438,0.05951191400527023,0.9873333333333333,
,specimen01,foot,raw,20deg_20mm,3,1,,0.5848204212669859,1.0,0.2984394929960961,0.3597322267766414,0.05251495700213127,0.9873333333333333,
,specimen01,foot,raw,20deg_20mm,3,2,,24.1433166683308,0.0,16.15398429725903,24.823953716676186,0.20618651201948524,0.8233333333333334,
,specimen01,foot,raw,20deg_20mm,3,3,,0.5848204212669983,1.0,0.2984394929960961,0.2382798992734055,0.0664942389994394,0.9873333333333333,
,specimen01,foot,raw,20deg_20mm,3,4,,0.5848204212669819,1.0,0.2984394929936537,0.16941711788865235,0.05218407997745089,0.9873333333333333,
,specimen01,foot,all_refined,aligned,0,0,1.0,0.8385815647329683,1.0,0.4177875892867637,0.3882822709763912,0.12927106901770458,0.9876666666666667,
,specimen01,foot,all_refined,5deg_5mm,1,0,1.0,0.8385815647328383,1.0,0.41778758926931614,0.375308339425716,0.1269209689926356,0.9876666666666667,
,specimen01,foot,all_refined,5deg_5mm,1,1,1.0,0.8385815647328048,1.0,0.4177875892605924,0.3880361175017404,0.12599911898723803,0.9876666666666667,
,specimen01,foot,all_refined,5deg_5mm,1,2,1.0,0.8385815647328477,1.0,0.41778758925361337,0.37998909894467636,0.12540723499841988,0.9876666666666667,
,specimen01,foot,all_refined,5deg_5mm,1,3,1.0,0.8385815647328344,1.0,0.41778758926582665,0.3659198421987262,0.12744454300263897,0.9876666666666667,
,specimen01,foot,all_refined,5deg_5mm,1,4,1.0,0.838581564732961,1.0,0.41778758926233717,0.40300671580855796,0.1290895249985624,0.9876666666666667,
,specimen01,foot,all_refined,10deg_10mm,2,0,1.0,0.8385815647327872,1.0,0.4177875892797847,0.3552514360990783,0.1264453939802479,0.9876666666666667,
,specimen01,foot,all_refined,10deg_10mm,2,1,1.0,0.8385815647329453,1.0,0.4177875892710609,0.4283855414661293,0.1301864690030925,0.9876666666666667,
,specimen01,foot,all_refined,10deg_10mm,2,2,1.0,0.8385815647329784,1.0,0.41778758927455045,0.4606366157469455,0.12703418600722216,0.9876666666666667,
,specimen01,foot,all_refined,10deg_10mm,2,3,1.0,0.8385815647329582,1.0,0.4177875892710609,0.4563929505224836,0.12782304000575095,0.9876666666666667,
,specimen01,foot,all_refined,10deg_10mm,2,4,1.0,0.8385815647328918,1.0,0.41778758927455045,0.4038688162063183,0.12814282899489626,0.9876666666666667,
,specimen01,foot,all_refined,20deg_20mm,3,0,1.0,0.8385815647330186,1.0,0.4177875892972322,0.30078126898579427,0.13160367199452594,0.9876666666666667,
,specimen01,foot,all_refined,20deg_20mm,3,1,1.0,0.8385815647328888,1.0,0.4177875892675714,0.5242593740940306,0.1312343850149773,0.9876666666666667,
,specimen01,foot,all_refined,20deg_20mm,3,2,1.0,24.675099856259205,0.0,16.795232930459704,25.23039934565277,0.2018523899896536,0.8265,
,specimen01,foot,all_refined,20deg_20mm,3,3,1.0,0.8385815647328858,1.0,0.4177875892640819,0.40853931465407944,0.1346654279914219,0.9876666666666667,
,specimen01,foot,all_refined,20deg_20mm,3,4,1.0,0.8385815647329481,1.0,0.4177875892675714,0.2857810822500761,0.12699720499222167,0.9876666666666667,
,specimen01,foot,random_policy,aligned,0,0,0.9,0.7314604625954522,1.0,0.34834930210037096,0.3835503054512092,0.04076391301350668,0.9868333333333333,
,specimen01,foot,random_policy,5deg_5mm,1,0,0.9,0.7314604625954442,1.0,0.3483493021024635,0.37056975951898175,0.0422113940003328,0.9868333333333333,
,specimen01,foot,random_policy,5deg_5mm,1,1,0.9,0.7314604625954241,1.0,0.34834930210037096,0.38018905071874576,0.04218157098512165,0.9868333333333333,
,specimen01,foot,random_policy,5deg_5mm,1,2,0.9,0.7314604625954542,1.0,0.34834930210455606,0.37372865183083476,0.04264393201447092,0.9868333333333333,
,specimen01,foot,random_policy,5deg_5mm,1,3,0.9,0.7314604625954271,1.0,0.34834930210037096,0.3673033013512773,0.043581365986028686,0.9868333333333333,
,specimen01,foot,random_policy,5deg_5mm,1,4,0.9,0.7314604625954461,1.0,0.34834930210037096,0.3974560602738384,0.0452258349978365,0.9868333333333333,
,specimen01,foot,random_policy,10deg_10mm,2,0,0.9,0.7314604625954463,1.0,0.3483493021024635,0.35194813173052486,0.044748508982593194,0.9868333333333333,
,specimen01,foot,random_policy,10deg_10mm,2,1,0.9,0.7314604625954562,1.0,0.34834930210037096,0.41186276481425765,0.04305834701517597,0.9868333333333333,
,specimen01,foot,random_policy,10deg_10mm,2,2,0.9,0.7314604625954185,1.0,0.3483493020961859,0.4415633259247866,0.04520824100472964,0.9868333333333333,
,specimen01,foot,random_policy,10deg_10mm,2,3,0.9,0.731460462595414,1.0,0.34834930209827847,0.4398957664850222,0.04360678300145082,0.9868333333333333,
,specimen01,foot,random_policy,10deg_10mm,2,4,0.9,0.7314604625954302,1.0,0.34834930209827847,0.3943816037732784,0.045834769000066444,0.9868333333333333,
,specimen01,foot,random_policy,20deg_20mm,3,0,0.9,0.73146046259547,1.0,0.3483493021024635,0.3134002828063162,0.05171317301574163,0.9868333333333333,
,specimen01,foot,random_policy,20deg_20mm,3,1,0.9,0.7314604625954634,1.0,0.34834930210037096,0.49866567226395686,0.048075191996758804,0.9868333333333333,
,specimen01,foot,random_policy,20deg_20mm,3,2,0.9,24.133143291817664,0.0,16.61301620998645,24.74361908967193,0.17843130099936388,0.8201666666666667,
,specimen01,foot,random_policy,20deg_20mm,3,3,0.9,0.7314604625954609,1.0,0.34834930209827847,0.3930024199770189,0.0567524770158343,0.9868333333333333,
,specimen01,foot,random_policy,20deg_20mm,3,4,0.9,0.7314604625954341,1.0,0.3483493020961859,0.2931868666783182,0.04422764599439688,0.9868333333333333,
,specimen01,foot,geometry_policy,aligned,0,0,1.0,0.8385815647329683,1.0,0.4177875892867637,0.3882822709763912,0.12927106901770458,0.9876666666666667,
,specimen01,foot,geometry_policy,5deg_5mm,1,0,1.0,0.8385815647328383,1.0,0.41778758926931614,0.375308339425716,0.1269209689926356,0.9876666666666667,
,specimen01,foot,geometry_policy,5deg_5mm,1,1,1.0,0.8385815647328048,1.0,0.4177875892605924,0.3880361175017404,0.12599911898723803,0.9876666666666667,
,specimen01,foot,geometry_policy,5deg_5mm,1,2,1.0,0.8385815647328477,1.0,0.41778758925361337,0.37998909894467636,0.12540723499841988,0.9876666666666667,
,specimen01,foot,geometry_policy,5deg_5mm,1,3,1.0,0.8385815647328344,1.0,0.41778758926582665,0.3659198421987262,0.12744454300263897,0.9876666666666667,
,specimen01,foot,geometry_policy,5deg_5mm,1,4,1.0,0.838581564732961,1.0,0.41778758926233717,0.40300671580855796,0.1290895249985624,0.9876666666666667,
,specimen01,foot,geometry_policy,10deg_10mm,2,0,1.0,0.8385815647327872,1.0,0.4177875892797847,0.3552514360990783,0.1264453939802479,0.9876666666666667,
,specimen01,foot,geometry_policy,10deg_10mm,2,1,1.0,0.8385815647329453,1.0,0.4177875892710609,0.4283855414661293,0.1301864690030925,0.9876666666666667,
,specimen01,foot,geometry_policy,10deg_10mm,2,2,1.0,0.8385815647329784,1.0,0.41778758927455045,0.4606366157469455,0.12703418600722216,0.9876666666666667,
,specimen01,foot,geometry_policy,10deg_10mm,2,3,1.0,0.8385815647329582,1.0,0.4177875892710609,0.4563929505224836,0.12782304000575095,0.9876666666666667,
,specimen01,foot,geometry_policy,10deg_10mm,2,4,1.0,0.8385815647328918,1.0,0.41778758927455045,0.4038688162063183,0.12814282899489626,0.9876666666666667,
,specimen01,foot,geometry_policy,20deg_20mm,3,0,1.0,0.8385815647330186,1.0,0.4177875892972322,0.30078126898579427,0.13160367199452594,0.9876666666666667,
,specimen01,foot,geometry_policy,20deg_20mm,3,1,1.0,0.8385815647328888,1.0,0.4177875892675714,0.5242593740940306,0.1312343850149773,0.9876666666666667,
,specimen01,foot,geometry_policy,20deg_20mm,3,2,1.0,24.675099856259205,0.0,16.795232930459704,25.23039934565277,0.2018523899896536,0.8265,
,specimen01,foot,geometry_policy,20deg_20mm,3,3,1.0,0.8385815647328858,1.0,0.4177875892640819,0.40853931465407944,0.1346654279914219,0.9876666666666667,
,specimen01,foot,geometry_policy,20deg_20mm,3,4,1.0,0.8385815647329481,1.0,0.4177875892675714,0.2857810822500761,0.12699720499222167,0.9876666666666667,
,specimen01,foot,pfad_policy,aligned,0,0,0.9,0.7808217953192299,1.0,0.6046086006853555,0.32727943574575724,0.09677258500596508,0.9905,
,specimen01,foot,pfad_policy,5deg_5mm,1,0,0.9,0.7808217953194078,1.0,0.6046086006950007,0.3172855312167567,0.09709392001968808,0.9905,
,specimen01,foot,pfad_policy,5deg_5mm,1,1,0.9,0.7808217953192574,1.0,0.6046086006817386,0.32729353208488504,0.09795898699667305,0.9905,
,specimen01,foot,pfad_policy,5deg_5mm,1,2,0.9,0.7808217953191298,1.0,0.6046086006781216,0.32148276238876433,0.09771431802073494,0.9905,
,specimen01,foot,pfad_policy,5deg_5mm,1,3,0.9,0.7808217953191541,1.0,0.6046086006889725,0.3133799217598535,0.09835487199597992,0.9905,
,specimen01,foot,pfad_policy,5deg_5mm,1,4,0.9,0.7808217953192379,1.0,0.6046086006817386,0.3390516630954134,0.101274280983489,0.9905,
,specimen01,foot,pfad_policy,10deg_10mm,2,0,0.9,0.7808217953193201,1.0,0.6046086006913838,0.31191321087955165,0.09863265600870363,0.9905,
,specimen01,foot,pfad_policy,10deg_10mm,2,1,0.9,0.7808217953192741,1.0,0.6046086006696821,0.36339081437819204,0.09920931101078168,0.9905,
,specimen01,foot,pfad_policy,10deg_10mm,2,2,0.9,0.780821795319153,1.0,0.6046086006732991,0.390281307087592,0.09942142898216844,0.9905,
,specimen01,foot,pfad_policy,10deg_10mm,2,3,0.9,0.7808217953191576,1.0,0.604608600660037,0.385526905168011,0.09729515301296487,0.9905,
,specimen01,foot,pfad_policy,10deg_10mm,2,4,0.9,0.7808217953193214,1.0,0.604608600693795,0.3350326831808989,0.09807099201134406,0.9905,
,specimen01,foot,pfad_policy,20deg_20mm,3,0,0.9,0.780821795319301,1.0,0.604608600693795,0.28447060619510967,0.10056578498915769,0.9905,
,specimen01,foot,pfad_policy,20deg_20mm,3,1,0.9,0.7808217953191251,1.0,0.6046086006720934,0.46886397819065284,0.09897154499776661,0.9905,
,specimen01,foot,pfad_policy,20deg_20mm,3,2,0.9,25.068277234387534,0.0,19.01295690829048,25.215343825613214,0.17446255098911934,0.8091666666666667,
,specimen01,foot,pfad_policy,20deg_20mm,3,3,0.9,0.7808217953192653,1.0,0.604608600680533,0.36732847528789625,0.10174906702013686,0.9905,
,specimen01,foot,pfad_policy,20deg_20mm,3,4,0.9,0.7808217953192835,1.0,0.6046086006817386,0.30612389741017537,0.09942592799779959,0.9905,
,specimen01,tibia,raw,aligned,0,0,,0.6645865611326194,1.0,1.1568037349504114,0.5139757529446123,0.14052538000396453,0.9853333333333333,
,specimen01,tibia,raw,5deg_5mm,1,0,,0.6645865611326892,1.0,1.1568037349497813,0.4711005542371178,0.124284218007233,0.9853333333333333,
,specimen01,tibia,raw,5deg_5mm,1,1,,0.6645865611326447,1.0,1.1568037349497813,0.517260416517787,0.1350085400044918,0.9853333333333333,
,specimen01,tibia,raw,5deg_5mm,1,2,,0.6645865611326408,1.0,1.1568037349510414,0.4942194776210279,0.14230221300385892,0.9853333333333333,
,specimen01,tibia,raw,5deg_5mm,1,3,,0.6645865611326549,1.0,1.1568037349504114,0.4832159180816325,0.12242958199931309,0.9853333333333333,
,specimen01,tibia,raw,5deg_5mm,1,4,,0.6645865611326282,1.0,1.1568037349497813,0.5025546097518808,0.1437882680038456,0.9853333333333333,
,specimen01,tibia,raw,10deg_10mm,2,0,,26.650600813268756,0.0,8.23141176687623,16.26005456779571,0.2932777630048804,0.712,
,specimen01,tibia,raw,10deg_10mm,2,1,,0.6645865611326206,1.0,1.1568037349541924,0.6081779242650982,0.14326763301505707,0.9853333333333333,
,specimen01,tibia,raw,10deg_10mm,2,2,,0.6645865611326661,1.0,1.156803734948521,0.61742717868773,0.13966030199662782,0.9853333333333333,
,specimen01,tibia,raw,10deg_10mm,2,3,,0.6645865611326366,1.0,1.1568037349510414,0.49361109153080907,0.13229376898379996,0.9853333333333333,
,specimen01,tibia,raw,10deg_10mm,2,4,,0.6645865611326139,1.0,1.1568037349491511,0.5436179386195269,0.13536300501436926,0.9853333333333333,
